initialization,run,train_fitness,test_fitness
initialize_population_uniform,1,0.9473684210526316,0.9310344827586207
initialize_population_uniform,2,0.9516129032258065,0.9310344827586207
initialize_population_uniform,3,0.9477911646586346,0.9655172413793104
initialize_population_uniform,4,0.9554655870445344,0.9152542372881356
initialize_population_uniform,5,0.959349593495935,0.9508196721311475
initialize_population_uniform,6,0.963265306122449,0.9491525423728815
initialize_population_uniform,7,0.9508196721311476,0.9
initialize_population_uniform,8,0.9711934156378601,0.9310344827586207
initialize_population_uniform,9,0.944,0.9666666666666666
initialize_population_uniform,10,0.9672131147540983,0.9333333333333333
initialize_population_uniform,11,0.9711934156378601,0.9655172413793104
initialize_population_uniform,12,0.9711934156378601,0.9655172413793104
initialize_population_uniform,13,0.9915966386554621,0.9666666666666666
initialize_population_uniform,14,0.963265306122449,0.9310344827586207
initialize_population_uniform,15,0.963265306122449,0.9310344827586207
initialize_population_uniform,16,0.9554655870445344,0.9508196721311475
initialize_population_uniform,17,0.9672131147540983,0.9491525423728815
initialize_population_uniform,18,0.9365079365079364,0.9666666666666666
initialize_population_uniform,19,0.9711934156378601,0.9655172413793104
initialize_population_uniform,20,0.9516129032258065,0.9666666666666666
initialize_population_uniform,21,0.944,0.9508196721311475
initialize_population_uniform,22,0.9874476987447699,0.9333333333333333
initialize_population_uniform,23,0.959349593495935,0.9310344827586207
initialize_population_uniform,24,0.9516129032258065,0.9310344827586207
initialize_population_uniform,25,0.9477911646586346,0.9206349206349206
initialize_population_uniform,26,0.944,0.9666666666666666
initialize_population_uniform,27,0.959349593495935,0.9508196721311475
initialize_population_uniform,28,0.944,0.9508196721311475
initialize_population_uniform,29,0.9512195121951219,0.9508196721311475
initialize_population_uniform,30,0.9707112970711298,0.9666666666666666
initialize_population_he,1,0.962962962962963,0.9491525423728815
initialize_population_he,2,0.959349593495935,0.9655172413793104
initialize_population_he,3,0.9711934156378601,0.9666666666666666
initialize_population_he,4,0.9477911646586346,0.9333333333333333
initialize_population_he,5,0.962962962962963,0.9310344827586207
initialize_population_he,6,0.944,0.9333333333333333
initialize_population_he,7,0.9711934156378601,0.9473684210526316
initialize_population_he,8,0.9672131147540983,0.9655172413793104
initialize_population_he,9,0.9672131147540983,0.9473684210526316
initialize_population_he,10,0.9711934156378601,0.9666666666666666
initialize_population_he,11,0.9711934156378601,0.9310344827586207
initialize_population_he,12,0.9477911646586346,0.9666666666666666
initialize_population_he,13,0.9672131147540983,0.9473684210526316
initialize_population_he,14,0.9473684210526316,0.9824561403508771
initialize_population_he,15,0.9711934156378601,0.9152542372881356
initialize_population_he,16,0.959349593495935,0.983050847457627
initialize_population_he,17,0.9512195121951219,0.9473684210526316
initialize_population_he,18,0.9752066115702479,0.9310344827586207
initialize_population_he,19,0.9590163934426229,0.8928571428571429
initialize_population_he,20,0.9477911646586346,0.9655172413793104
initialize_population_he,21,0.9672131147540983,0.9454545454545454
initialize_population_he,22,0.959349593495935,0.9454545454545454
initialize_population_he,23,0.9516129032258065,0.9285714285714286
initialize_population_he,24,0.9711934156378601,0.9
initialize_population_he,25,0.9516129032258065,0.9180327868852458
initialize_population_he,26,0.9915966386554621,0.9655172413793104
initialize_population_he,27,0.963265306122449,0.8771929824561403
initialize_population_he,28,0.9551020408163264,0.9473684210526316
initialize_population_he,29,0.9711934156378601,0.9285714285714286
initialize_population_he,30,0.9957446808510638,0.912280701754386
