run,train_fitness,test_fitness
1,0.9915966386554621,0.9090909090909091
2,0.9830508474576272,0.9310344827586207
3,0.9711934156378601,0.9655172413793104
4,0.9957805907172996,0.9473684210526316
5,0.9402390438247012,0.9508196721311475
6,0.9554655870445344,0.983050847457627
7,0.9711934156378601,0.9666666666666666
8,0.9554655870445344,0.9655172413793104
9,0.9672131147540983,0.9473684210526316
10,0.9711934156378601,0.9333333333333333
11,0.944,0.9666666666666666
12,0.963265306122449,0.9090909090909091
13,0.9473684210526316,0.9333333333333333
14,0.963265306122449,0.9491525423728815
15,0.9711934156378601,0.9824561403508771
16,0.9711934156378601,0.8928571428571429
17,0.9672131147540983,0.9333333333333333
18,0.9711934156378601,0.912280701754386
19,0.9833333333333333,0.9655172413793104
20,0.9672131147540983,0.9310344827586207
21,0.9672131147540983,0.9655172413793104
22,0.959349593495935,0.9655172413793104
23,0.944,0.9666666666666666
24,0.944,0.9333333333333333
25,0.944,0.9666666666666666
26,0.944,0.9508196721311475
27,0.9711934156378601,0.9491525423728815
28,0.9711934156378601,0.9310344827586207
29,0.970954356846473,0.8771929824561403
30,0.9516129032258065,0.9491525423728815
